Decimal,Smallest Base
970,14
971,19
972,17
973,27
974,
975,2
976,3
977,
978,12
979,10
980,13
981,28
982,20
983,
984,
985,14
986,5
987,11
988,
989,10
990,12
991,4
992,22
993,13
994,6
995,16
996,
997,
998,11
999,10
1000,9
